SpotID IntegratedIntensity Omega(degrees) YCen(px) ZCen(px) IMax MinOme(degrees) MaxOme(degress) SigmaR SigmaEta NrPx NrPxTot Radius(px) Eta(degrees)
73 47584.800982 92.500000 730.000316 557.000479 3750.000000 92.500000 92.500000 9.208419 0.159949 45.000000 45.000000 549.079566 -147.872948
74 47591.658333 92.500000 250.000285 527.000192 3750.000000 92.500000 92.500000 7.805732 0.392253 45.000000 45.000000 917.065085 -122.667656
75 47113.896009 92.250000 127.000277 823.000065 3750.000000 92.250000 92.250000 8.725098 0.532024 45.000000 45.000000 916.856302 -102.535586
76 47075.999680 92.250000 65.000275 971.000024 3750.000000 92.250000 92.250000 7.165638 0.462269 45.000000 45.000000 958.357695 -93.050494
77 47584.800982 91.250000 730.000316 557.000479 3750.000000 91.250000 91.250000 9.208419 0.159949 45.000000 45.000000 549.079566 -147.872948
78 47075.999837 90.500000 547.000553 997.000048 3750.000000 90.500000 90.500000 7.186819 0.984845 45.000000 45.000000 475.656885 -93.012785
79 47273.261254 90.500000 486.000460 1142.999891 3750.000000 90.500000 90.500000 8.733523 0.342924 45.000000 45.000000 549.487471 -77.278926
80 47625.083010 89.750000 669.000434 704.000404 3750.000000 89.750000 89.750000 9.135130 0.905627 45.000000 45.000000 475.113078 -132.014102
81 47076.000439 89.750000 548.000555 997.000048 3750.000000 89.750000 89.750000 7.408618 0.990099 45.000000 45.000000 474.658268 -93.019130
82 47076.000500 84.250000 1494.999444 1046.999952 3750.000000 84.250000 84.250000 8.196977 0.185649 45.000000 45.000000 473.659658 86.974499
83 47273.791238 84.000000 1556.999539 901.000109 3750.000000 84.000000 84.000000 8.734559 0.282105 45.000000 45.000000 548.512061 102.744076
84 95175.800350 82.625000 1679.999664 605.000224 3750.000000 82.500000 82.750000 6.944273 0.112737 90.000000 90.000000 779.007298 122.364012
85 47625.026989 82.500000 1373.999566 1339.999595 3750.000000 82.500000 82.500000 8.687376 0.184997 45.000000 45.000000 474.370569 47.905056
86 142302.315050 82.416491 1201.999753 583.000569 7500.000000 82.250000 82.500000 9.022706 0.185361 90.000000 90.000000 474.468558 157.705255
87 47075.999571 82.250000 1978.999725 1072.999976 3750.000000 82.250000 82.250000 7.165636 0.462269 45.000000 45.000000 958.357695 86.949506
88 47114.201317 81.500000 1915.999723 1220.999935 3750.000000 81.500000 81.500000 6.722730 0.096105 45.000000 45.000000 915.880166 77.450836
89 47075.999571 81.500000 1978.999725 1072.999976 3750.000000 81.500000 81.500000 7.165636 0.462269 45.000000 45.000000 958.357695 86.949506
90 47625.544754 81.250000 1742.999750 455.000209 3750.000000 81.250000 81.250000 9.185879 0.095696 45.000000 45.000000 917.240100 128.181785
91 42498.596843 81.000000 1792.999709 1517.999816 3750.000000 81.000000 81.000000 1.628179 0.097843 45.000000 45.000000 916.764075 57.245998
92 47583.618147 80.750000 1312.999684 1486.999521 3750.000000 80.750000 80.750000 6.997335 0.160105 45.000000 45.000000 548.548421 32.038597
93 47592.064938 80.250000 1792.999715 1516.999807 3750.000000 80.250000 80.250000 1.532739 0.575825 45.000000 45.000000 916.223428 57.298590
94 47583.618147 79.500000 1312.999684 1486.999521 3750.000000 79.500000 79.500000 6.997335 0.160105 45.000000 45.000000 548.548421 32.038597
95 47624.916608 78.750000 1730.999786 1665.999799 3750.000000 78.750000 78.750000 8.956631 0.091621 45.000000 45.000000 957.818583 47.750454
96 91389.866729 75.250000 1379.586937 132.168794 44435.650302 75.250000 75.250000 0.882309 0.057634 52.000000 52.000000 958.993219 158.106814
97 61110.514710 75.056231 1378.902886 131.126031 16647.512022 75.000000 75.250000 9.052516 0.117120 96.000000 97.000000 959.859058 158.165337
98 47099.763349 67.250000 124.000275 1210.999937 3750.000000 67.250000 67.250000 8.695178 0.095922 45.000000 45.000000 917.673408 -78.114558
99 93789.461189 66.750000 125.006644 1212.485941 13312.467832 66.750000 66.750000 1.013634 0.084438 52.000000 52.000000 916.996169 -78.010749
100 771.167101 66.750000 124.708862 1212.868433 37123.582160 66.750000 66.750000 0.321347 0.604708 52.000000 52.000000 917.366964 -77.991245
101 47100.706514 62.250000 1182.999926 1783.999676 3750.000000 62.250000 62.250000 6.904369 0.113023 45.000000 45.000000 778.822497 11.930336
102 47289.726333 60.250000 285.000348 767.000124 3750.000000 60.250000 60.250000 8.902987 0.659605 45.000000 45.000000 779.867569 -109.085481
103 94568.291693 59.375003 284.000347 769.500112 3750.000000 59.250000 59.500000 6.478048 0.658975 90.000000 90.000000 779.838077 -108.853159
104 47623.849778 58.500000 382.000211 1680.999785 3750.000000 58.500000 58.500000 8.783692 0.333336 45.000000 45.000000 918.629657 -44.162015
105 47623.940054 58.000000 386.000211 1682.999784 3750.000000 58.000000 58.000000 9.088374 0.533978 45.000000 45.000000 917.287548 -43.895746
106 47100.032722 56.750000 1918.999725 833.000063 3750.000000 56.750000 56.750000 8.542582 0.504589 45.000000 45.000000 916.694869 101.898315
107 94204.488528 56.124998 1917.999724 831.500056 3750.000000 56.000000 56.250000 8.702087 0.278340 90.000000 90.000000 916.131258 102.033604
108 47626.250022 53.750000 430.000209 321.000236 3750.000000 53.750000 53.750000 1.531783 0.572303 45.000000 45.000000 917.531701 -139.818646
109 47625.922679 52.750000 432.000272 1531.999754 3750.000000 52.750000 52.750000 9.155021 0.672599 45.000000 45.000000 779.871417 -49.159643
110 95252.256114 52.625000 426.500209 324.000234 3750.000000 52.500000 52.750000 9.160332 0.544511 90.000000 90.000000 917.834094 -139.507041
111 47290.401046 50.750000 1757.999652 1276.999876 3750.000000 50.750000 50.750000 8.793512 0.660462 45.000000 45.000000 778.922605 70.890467
112 47939.790049 50.000000 1758.999132 1274.991319 7620.892126 50.000000 50.000000 1.000494 0.073614 52.000000 52.000000 779.212633 71.054078
113 46250.618276 50.000000 1758.999906 1273.990548 7382.143789 50.000000 50.000000 0.999497 0.073420 52.000000 52.000000 778.889016 71.123726
114 47623.878748 43.500000 1659.999789 363.000216 3750.000000 43.500000 43.500000 7.923523 0.394506 45.000000 45.000000 917.237399 135.927607
115 47623.940359 43.000000 1657.999789 361.000216 3750.000000 43.000000 43.000000 9.075305 0.485795 45.000000 45.000000 917.287548 136.104254
116 47387.768472 41.500000 515.000491 1233.999782 3750.000000 41.500000 41.500000 9.078656 0.945426 45.000000 45.000000 549.538360 -67.307955
117 42498.586163 41.000000 517.000535 1235.999779 3750.000000 41.000000 41.000000 1.641954 0.243316 45.000000 45.000000 548.470934 -67.034596
118 42498.597027 41.000000 1610.999694 512.000264 3750.000000 41.000000 41.000000 1.348222 0.099148 45.000000 45.000000 779.115120 130.888449
119 47626.268311 37.750000 1612.999790 1722.999764 3750.000000 37.750000 37.750000 9.165549 0.572748 45.000000 45.000000 916.886809 40.133612
120 47075.999719 37.250000 72.000260 1157.999951 3750.000000 37.250000 37.250000 1.535206 0.484610 45.000000 45.000000 959.685101 -81.853012
121 5202.366138 36.750000 1615.590729 1719.886578 6024.000000 36.750000 36.750000 9.809798 0.033278 52.000000 52.000000 916.185368 40.382984
122 90280.293366 36.750000 1616.564841 1720.013283 60239.999999 36.750000 36.750000 1.069341 0.067897 52.000000 52.000000 916.913242 40.424220
123 47546.326465 34.750000 1526.999509 810.000219 3750.000000 34.750000 34.750000 9.080587 0.159806 45.000000 45.000000 547.693720 112.772759
124 47076.000483 34.500000 105.000292 1006.000009 3750.000000 34.500000 34.500000 8.068835 0.504080 45.000000 45.000000 917.139283 -90.999607
125 47194.628815 34.500000 552.000522 1088.999902 3750.000000 34.500000 34.500000 6.679530 1.020024 45.000000 45.000000 474.750983 -81.886968
126 47075.999916 34.250000 1095.999964 1936.999719 3750.000000 34.250000 34.250000 8.302805 0.400055 45.000000 45.000000 917.987189 4.623693
127 42498.586518 34.000000 1526.999465 808.000221 3750.000000 34.000000 34.000000 1.641674 0.243354 45.000000 45.000000 548.470934 112.965404
128 47075.999705 33.750000 105.000292 1011.000006 3750.000000 33.750000 33.750000 4.506679 0.439042 45.000000 45.000000 917.065682 -90.687266
129 47076.000060 31.000000 1097.999964 1935.999719 3750.000000 31.000000 31.000000 8.273401 0.418576 45.000000 45.000000 917.154011 4.753265
130 47626.274345 29.250000 1599.999791 310.000244 3750.000000 29.250000 29.250000 8.250197 0.095707 45.000000 45.000000 917.075466 140.930386
131 47075.999221 29.000000 1490.999474 955.000099 3750.000000 29.000000 29.000000 1.535203 1.028618 45.000000 45.000000 473.761009 98.130100
132 42498.594935 27.000000 158.000328 714.000114 3750.000000 27.000000 27.000000 1.348222 0.133565 45.000000 45.000000 917.256433 -109.620210
133 47076.000443 26.250000 1970.999740 886.000049 3750.000000 26.250000 26.250000 7.816082 0.508400 45.000000 45.000000 958.695204 98.155458
134 47529.593341 24.500000 182.000279 560.000161 3750.000000 24.500000 24.500000 9.071092 0.548943 45.000000 45.000000 958.667504 -118.810793
135 47436.045289 24.000000 640.000143 1855.999707 3750.000000 24.000000 24.000000 9.119943 0.185837 45.000000 45.000000 917.321864 -24.609369
