%YLab ZLab Omega GrainRadius SpotID RingNumber Eta Ttheta
-147399.98120  50398.10960     50.06299    104.91463    118.00000      3.00000     71.12373      8.85425
-147199.93040  50999.97520     50.81274    105.64564    119.00000      3.00000     70.89047      8.85462
117999.94560 101999.95080     52.79199     98.32817    120.00000      3.00000    -49.15964      8.86524
147599.93060 -50499.97760     59.43763    133.16644    121.00000      3.00000   -108.88792      8.86667
147399.93040 -50999.97520     60.31242    105.65001    122.00000      3.00000   -109.08548      8.86519
-32199.98520 152399.93520     62.27148     63.55654    123.00000      3.00000     11.93034      8.85350
-131599.93280 -83399.95520     82.67424    128.48585    124.00000      3.00000    122.36401      8.85557
131599.93280  83399.95520     93.04956    101.98133    125.00000      3.00000    -57.63599      8.85557
131999.93280  83399.95540     93.29956    102.00968    126.00000      3.00000    -57.71456      8.87448
 32399.98520 -152399.93520    103.02116     63.68296    127.00000      3.00000   -167.99771      8.85582
-146199.80560  53199.91320    114.06185    105.30227    128.00000      3.00000     70.00431      8.84309
-146399.95420  53200.10640    114.06185    105.31767    129.00000      3.00000     70.02942      8.85361
-146399.93020  52799.97380    114.81201    105.50395    130.00000      3.00000     70.16787      8.84599
-120199.94340 -99199.95060    122.79281     98.96286    131.00000      3.00000    129.53256      8.85818
146422.32000 -53202.54300    123.56152    112.26384    132.00000      3.00000   -109.96861      8.85484
146618.53860 -53195.29100    123.56153     97.33248    133.00000      3.00000   -109.94149      8.86501
146799.93040 -52799.97400    124.31169    105.51344    134.00000      3.00000   -109.78229      8.86704
120399.94340  99199.95080    134.29313     98.98487    135.00000      3.00000    -50.51420      8.86682
-79799.95740 -133799.93180    163.27873     86.30156    136.00000      3.00000    149.18762      8.85492
-78799.95800 -134399.93160    163.77848     85.93376    137.00000      3.00000    149.61650      8.85533
-155699.93120   2799.99800    172.70736    135.43251    138.00000      3.00000     88.96974      8.85130
-74999.96040 136599.93140    173.27791     84.50457    139.00000      3.00000     28.76891      8.85744
-155599.91740   1799.99900    173.33276    103.76712    140.00000      3.00000     89.33722      8.84488
-75799.96000 136199.93140    174.02808     84.80115    141.00000      3.00000     29.09745      8.85951
-158699.94120  91599.96480   -175.57878    129.31118    142.00000      4.00000     60.00690     10.38358
-159199.94180  90799.96520   -174.95345    102.73888    143.00000      4.00000     60.30165     10.38555
-172599.94080 -61599.97800   -164.19189    105.36868    144.00000      4.00000    109.64121     10.38495
158999.94200 -91599.96480   -163.57910    129.33690    145.00000      4.00000   -119.94627     10.39799
159399.94180 -90799.96520   -162.95378    102.74876    146.00000      4.00000   -119.66740     10.39518
-183199.94160  -2199.99880   -156.66772    107.31969    147.00000      4.00000     90.68802     10.38220
 76399.97140 -166799.94140   -155.98470     80.33675    148.00000      4.00000   -155.39063     10.39612
-183199.94160  -3199.99820   -155.91813    107.31673    149.00000      4.00000     91.00070     10.38301
172799.94100  61599.97820   -152.94157    105.48838    150.00000      4.00000    -70.37979     10.39540
-15199.99280 -182799.94380   -148.99121     46.75196    151.00000      4.00000    175.24674     10.39426
183599.94180   2399.99860   -146.16748    107.31857    152.00000      4.00000    -89.25108     10.40451
-14799.99280 -182999.94380   -145.74129     46.32304    153.00000      4.00000    175.37631     10.40350
183199.94160   3199.99820   -145.41781    107.31829    154.00000      4.00000    -88.99930     10.38301
-118999.20940 -139599.89640   -143.22363     93.13760    155.00000      4.00000    139.55471     10.39458
-118799.23320 -139600.03960   -143.22363     92.65720    156.00000      4.00000    139.60231     10.38739
-118199.95800 -140199.95280   -142.22388     93.06120    157.00000      4.00000    139.86639     10.39130
-126999.95780 132199.95660   -136.97030     95.32528    158.00000      4.00000     43.85070     10.38806
-127799.95780 131799.95700   -136.47013     95.47818    159.00000      4.00000     44.11724     10.40290
119099.95820 139599.95320   -127.34831    117.53156    160.00000      4.00000    -40.46921     10.39820
118399.95820 140199.95280   -126.22355     93.09166    161.00000      4.00000    -40.18135     10.39845
-179199.94480  38099.98880   -123.80701    134.24389    162.00000      4.00000     77.99698     10.38177
-179399.94500  37799.98740   -123.18188    106.56571    163.00000      4.00000     78.10169     10.38917
127399.95780 -132199.95680   -121.97062     95.37679    164.00000      4.00000   -136.05928     10.40343
127799.95780 -131799.95700   -121.47046     95.47818    165.00000      4.00000   -135.88276     10.40290
-81999.96900 163999.94160   -117.98324     82.29726    166.00000      4.00000     26.56505     10.39020
179400.68240 -38104.03920   -113.18233    133.81320    167.00000      4.00000   -101.99121     10.39270
179410.79080 -37854.14360   -113.18223     31.15019    168.00000      4.00000   -101.91418     10.39038
179599.94500 -37799.98740   -112.68221    106.56688    169.00000      4.00000   -101.88544     10.40002
-154199.94300 -98999.96140    -99.70711    101.68935    170.00000      4.00000    122.70141     10.38394
-154199.94300 -99199.96140    -98.95719    101.66963    171.00000      4.00000    122.75400     10.38994
-144199.95000 113399.95820    -98.71265     99.42716    172.00000      4.00000     51.81822     10.39522
-178799.94460 -39799.98700    -98.43302    106.48923    173.00000      4.00000    102.54916     10.38014
178999.94460  39799.98700    -87.68270    106.49056    174.00000      4.00000    -77.46441     10.39096
154399.94300  98999.96160    -87.45679    101.70163    175.00000      4.00000    -57.33234     10.39327
154399.94320  99199.96140    -86.45687    101.68194    176.00000      4.00000    -57.27978     10.39926
144399.94980 -113399.95820    -85.46297     99.44443    177.00000      4.00000   -128.14320     10.40393
-179799.94540  35399.98800    -72.18091    134.37782    178.00000      4.00000     78.86176     10.38433
-179799.94540  35799.98780    -71.68107    106.63705    179.00000      4.00000     78.73910     10.38864
-129799.95720 129399.95740    -62.21916     96.02735    180.00000      4.00000     45.08842     10.38603
-129399.95740 129999.95720    -61.96940     95.90364    181.00000      4.00000     44.86747     10.39388
179999.94540 -35399.98800    -61.68123    134.37908    182.00000      4.00000   -101.12617     10.39521
179799.94520 -35999.98780    -61.18148    106.63029    183.00000      4.00000   -101.32219     10.39081
