SpotID IntegratedIntensity Omega(degrees) YCen(px) ZCen(px) IMax MinOme(degrees) MaxOme(degress) Radius(px) Theta(degrees) Eta(degrees) DeltaOmega NImgs RingNr GrainVolume GrainRadius PowderIntensity SigmaR SigmaEta NrPx NrPxTot
58.000000 47310.659417 114.750000 1753.999651 1285.999869 3750.000000 114.750000 114.750000 778.151284 4.422997 70.167870 0.250000 1.000000 3.000000 4919203.349823 105.503951 2361.430926 1.535302 0.662731 45.000000 45.000000
59.000000 47088.450652 114.000000 1752.999028 1287.999566 7495.479009 114.000000 114.000000 777.891604 4.421544 70.004313 0.250000 1.000000 3.000000 4891046.087881 105.302266 2361.430926 0.999500 0.073714 52.000000 52.000000
60.000000 47101.949185 114.000000 1753.999771 1288.000532 7508.016745 114.000000 114.000000 778.832426 4.426807 70.029421 0.250000 1.000000 3.000000 4893193.224689 105.317672 2361.430926 0.999679 0.073510 52.000000 52.000000
61.000000 47088.594889 108.250000 1919.999726 842.000061 3750.000000 108.250000 108.250000 915.862154 5.189969 101.334470 0.250000 1.000000 4.000000 5078292.490557 106.629253 4740.838162 1.536397 0.542334 45.000000 45.000000
62.000000 94183.609600 107.750000 1920.999727 845.000060 7500.000000 107.750000 107.750000 916.258417 5.192166 101.138241 0.250000 1.000000 4.000000 10164158.004630 134.377823 4740.838162 1.536593 0.096087 45.000000 45.000000
63.000000 86821.611577 103.750000 663.584955 1911.959616 12958.098945 103.750000 103.750000 959.421421 5.431065 -21.936214 0.250000 1.000000 5.000000 3568435.547412 94.797398 1578.488392 0.995568 0.065638 52.000000 52.000000
64.000000 55436.054162 103.536384 662.926443 1912.925909 17098.706125 103.500000 103.750000 960.604711 5.437604 -21.945396 0.500000 2.000000 5.000000 2278236.530568 81.627545 1578.488392 9.060132 0.091549 97.000000 97.000000
65.000000 47102.229590 103.000000 860.000074 260.000324 3750.000000 103.000000 103.000000 779.029834 4.427911 -167.997706 0.250000 1.000000 3.000000 1081828.258310 63.682959 2361.430926 8.700629 0.112992 45.000000 45.000000
66.000000 142157.568094 96.416671 840.666934 1460.999431 7500.000000 96.250000 96.500000 475.230901 2.714717 -22.517848 0.500000 2.000000 1.000000 6059585.078809 113.097089 1565.589622 9.073392 1.086983 90.000000 90.000000
67.000000 47625.493192 94.500000 300.000251 1588.999791 3750.000000 94.500000 94.500000 918.026362 5.201966 -51.856796 0.250000 1.000000 4.000000 4119363.029486 99.444435 4740.838162 9.189184 0.095614 45.000000 45.000000
68.000000 47624.947301 93.500000 312.000214 378.000201 3750.000000 93.500000 93.500000 958.559042 5.426300 -132.209357 0.250000 1.000000 5.000000 3882431.007428 97.500097 1578.488392 5.422810 0.315167 45.000000 45.000000
69.000000 47592.287634 93.500000 250.000284 526.000193 3750.000000 93.500000 93.500000 917.605236 5.199631 -122.720219 0.250000 1.000000 4.000000 4403724.641415 101.681946 4740.838162 8.454309 0.575079 45.000000 45.000000
70.000000 47586.887098 93.250000 362.000336 1438.999777 3750.000000 93.250000 93.250000 780.697361 4.437239 -57.714559 0.250000 1.000000 3.000000 4446443.632504 102.009682 2361.430926 9.208934 0.271415 45.000000 45.000000
