%YLab ZLab Omega GrainRadius SpotID RingNumber Eta Ttheta OmegaIni(NoWedgeCorr) YOrig(NoWedgeCorr) ZOrig(NoWedgeCorr) YOrig(DetCor) ZOrig(DetCor) OmegaOrig(DetCor) IntegratedIntensity(count)
120399.94340 -99199.95080    -45.70719     98.98487    102.00000      3.00000   -129.48580      8.86682    -45.70719 120399.94340 -99199.95080    420.00028    526.00025    -45.70719  47626.36449
-79999.95720 133799.93180    -16.72095     86.35517    103.00000      3.00000     30.87551      8.86065    -16.72095 -79999.95720 133799.93180   1421.99979   1690.99966    -16.72095  47566.51024
-78799.95800 134399.93160    -16.22119     85.93376    104.00000      3.00000     30.38350      8.85533    -16.22119 -78799.95800 134399.93160   1415.99979   1693.99966    -16.22119  47558.42675
-155799.93140  -2799.99780     -7.29297    135.43218    105.00000      3.00000     91.02959      8.85689     -7.29297 -155799.93140  -2799.99780   1800.99966   1008.00001     -7.29297  94152.00141
-74999.96040 -136599.93140     -6.72241     84.50456    106.00000      3.00000    151.23109      8.85744     -6.72241 -74999.96040 -136599.93140   1396.99980    339.00034     -6.72241  47528.76396
-155599.93120  -1799.99860     -6.66756    107.49628    107.00000      3.00000     90.66277      8.84488     -6.66756 -155599.93120  -1799.99860   1799.99966   1013.00001     -6.66756  47075.99857
-75799.96000 -136199.93140     -5.97225     84.80115    108.00000      3.00000    150.90255      8.85951     -5.97225 -75799.96000 -136199.93140   1400.99980    341.00034     -5.97225  47535.15796
 79999.95720 -133799.93180      0.52873     86.35517    109.00000      3.00000   -149.12449      8.86065      0.52873  79999.95720 -133799.93180    622.00021    353.00034      0.52873  47566.51136
 79199.95780 -134399.93180      1.27848     86.04272    110.00000      3.00000   -149.48976      8.86667      1.27848  79199.95780 -134399.93180    626.00021    350.00034      1.27848  47560.55375
156034.84060   2799.70640      1.58236     94.66828    111.00000      3.00000    -88.97206      8.87003      1.58236 156034.84060   2799.70640    241.82580   1035.99853      1.58236  32157.40100
155829.94480   2800.03540      1.58236    117.90725    112.00000      3.00000    -88.97059      8.85857      1.58236 155829.94480   2800.03540    242.85028   1036.00018      1.58236  62127.77985
155799.93120   1799.99860      2.33276    107.49601    113.00000      3.00000    -89.33808      8.85607      2.33276 155799.93120   1799.99860    243.00034   1030.99999      2.33276  47075.99996
